baseMean log2FoldChange lfcSE stat pvalue padj
ENSG00000008283.14 65530.4845566435 -5.60190266913055 0.138575851442464 -40.4248114719789 0 0
ENSG00000148719.13 2789.43304357431 -1.39478784179672 0.0364935311748025 -38.2201392108574 0 0
ENSG00000155256.16 3295.23831551015 -2.01318474914969 0.0535977693170277 -37.5609801453082 0 0
ENSG00000165533.17 3116.36661405092 -2.46332499923134 0.0650777119243663 -37.8520529746686 0 0
ENSG00000168781.20 1543.89157021024 -2.26253404305833 0.0599264897416761 -37.7551572403355 0 0
ENSG00000181031.14 1261.54328927255 -3.64936851796949 0.0946595158024485 -38.5525796010368 0 0
ENSG00000131979.17 5629.71019215257 -4.96377546547387 0.132930820336385 -37.3410429042183 3.54348412283023e-305 1.07379459808074e-302
ENSG00000244567.1 795.500860778255 -2.48373824952479 0.0670113342785438 -37.0644500108104 1.0508762626876e-300 3.04161314185068e-298
ENSG00000174132.8 1750.79990804088 -2.20374335318541 0.0595334201907917 -37.0169116123834 6.12121460110282e-300 1.7492726687911e-297
ENSG00000261762.1 322.249846816062 -5.31192095246324 0.143756903212755 -36.9507191220012 7.0923267001373e-299 1.98902319978012e-296
ENSG00000166228.7 4713.30943876307 -2.47172097581863 0.0681720889573365 -36.257081360166 7.6855894882274e-288 1.92788742540246e-285
ENSG00000189180.14 1834.61138714281 -1.97425887125757 0.0553536276871039 -35.6662960270178 1.31723867164953e-278 2.97379802511598e-276
ENSG00000120256.8 2659.12645209003 -2.24338341717749 0.0636421047415726 -35.2499878231094 3.43241747804702e-272 7.38002447470376e-270
ENSG00000196693.13 1329.47394501257 -2.15855545428371 0.0614146562741523 -35.1472365919954 1.28108818537861e-270 2.69040436028906e-268
ENSG00000166848.5 13205.9109132717 -1.81481314406792 0.0522643659323258 -34.7237187650534 3.45595943497204e-264 6.69714508188231e-262
ENSG00000181195.9 109486.074945292 -8.58093015742227 0.248303916195457 -34.5581748725527 1.07434689555528e-261 2.00450045570711e-259
ENSG00000115556.12 1633.51995402423 -2.62155823611241 0.0772222116884561 -33.9482407819239 1.29488661568026e-252 2.1979970101953e-250
ENSG00000169684.12 654.87939875112 -3.77012820043763 0.111177186043842 -33.9109878077947 4.58824789480942e-252 7.70143378983029e-250
ENSG00000171813.12 1458.9851169189 -2.87029961215606 0.0847383847461307 -33.872484361783 1.69383615184951e-251 2.81176801207019e-249
ENSG00000069966.17 2796.83745368615 -1.78845842683702 0.0528642475080474 -33.8311526436609 6.87140451907653e-251 1.12412194509182e-248
ENSG00000167580.6 2137.141384795 -10.3388446784971 0.306461087570402 -33.7362396004745 1.7015103270551e-249 2.71472064619053e-247
ENSG00000144642.19 1754.60259928857 -3.31654608982109 0.0985510163977422 -33.6530886341733 2.80987085539368e-248 4.40525308551164e-246
ENSG00000131831.16 1124.63274614991 -3.09493105322837 0.0921333655139784 -33.5918593222215 2.20571617899252e-247 3.44610715964948e-245
ENSG00000179588.7 1402.1835699292 -2.80843381784181 0.0836517798031382 -33.5729117115145 4.17002252673601e-247 6.47027000437059e-245
ENSG00000119965.11 582.672039203863 -1.51015752965908 0.0450383337645016 -33.5304928809191 1.73294516262749e-246 2.66142653003253e-244
ENSG00000171817.15 676.340930051825 -2.61936819855682 0.0788363960370379 -33.2253670922023 4.63239714778765e-242 6.72546610986843e-240
ENSG00000185442.11 1960.73466172286 -3.43228912313814 0.103973192555943 -33.0112891483196 5.59389098980971e-239 7.9928913282243e-237
ENSG00000228903.5 400.936150664836 -2.64886541623808 0.0804350740609953 -32.9317209831796 7.72901165943257e-238 1.077099797675e-235
ENSG00000150593.14 4386.17455582005 -2.32647241022672 0.0707245429732197 -32.8948383746737 2.60502442933368e-237 3.61914040102382e-235
ENSG00000261594.3 2753.0110539129 -5.68705398992331 0.173161131241143 -32.8425550766561 1.4548874839148e-236 1.99668935178483e-234
ENSG00000166169.15 1473.86891962841 -1.42845318549281 0.0435003396440184 -32.8377478700728 1.7039414561996e-236 2.33140498879771e-234
ENSG00000256757.1 138.268682126497 -5.79538381767185 0.177415052124383 -32.6656828058129 4.79917376708137e-234 6.33603198629409e-232
ENSG00000183570.15 2682.87057913493 -4.19231155000326 0.128556018204493 -32.6107762869146 2.88518602678299e-233 3.74344596210649e-231
ENSG00000128654.12 2045.28905003497 -1.50144853551611 0.0460497347523427 -32.6049334179874 3.49136106770309e-233 4.51696088621576e-231
ENSG00000277879.1 158.419490236137 -2.55640603916002 0.0785686624428815 -32.5372223438129 3.1746716172189e-232 4.04923087177028e-230
ENSG00000154556.16 5580.88307358414 -3.38028465585179 0.104002494327465 -32.5019575512155 1.00049820102972e-231 1.26185739589089e-229
ENSG00000138606.18 3929.80972683047 -3.30354169073563 0.101879144421253 -32.4260839595986 1.17751652780712e-230 1.43307887502822e-228
ENSG00000111912.17 3869.46069092486 -2.56151221724563 0.0790671625143127 -32.3966629861284 3.05838732283755e-230 3.69230760429842e-228
ENSG00000173482.15 5446.50208546749 -2.86935789581859 0.0892827804251557 -32.1378644589135 1.3050911584493e-226 1.51484514103606e-224
ENSG00000168300.12 2398.03491747796 -1.5584984401892 0.0488280769811031 -31.9180794441762 1.49875519720617e-223 1.68337797672271e-221
ENSG00000063854.11 4339.68333073021 -1.74210951823714 0.0546017935916135 -31.9057196411349 2.22430885700194e-223 2.4921090201328e-221
ENSG00000274492.1 53.0057182491074 -4.02704494989608 0.126449642028557 -31.8470253081982 1.44724431040778e-222 1.60950677594906e-220
ENSG00000116199.10 4060.99604983318 -1.61835678798718 0.0511119506112905 -31.6629823090667 5.02568377364498e-220 5.39001600350637e-218
ENSG00000164506.13 1808.27357441075 -2.68937238800121 0.084977851573034 -31.6479216433217 8.09938816683278e-220 8.60478998844315e-218
ENSG00000087460.22 288152.388481145 -2.58199541203457 0.0820299440301202 -31.4762547087256 1.8360716979395e-217 1.86297324281718e-215
